What objects that satisfy the following statement : (subject : Acetaldehyde | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : José Alberto Ciurana | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Kai-Fu Lee | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Katy Perry | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Kiran Mazumdar-Shaw | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Larry Hryb | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Larry Kudlow | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Leland D. Melvin | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Lenín Moreno | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Mahmoud Ahmadinejad | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Malcolm Turnbull | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Marc Benioff | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Marina Ruy Barbosa | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Mark Hurd | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Melinda Gates | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Mikhail Zadornov | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Miquel Calçada | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Mitt Romney | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Miuccia Prada | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Mohamed Morsi | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Naoko Yamazaki | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Padmasree Warrior | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Paul G. Allen | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Peter Diamandis | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Peter Thiel | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Pierre Omidyar | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Randall Munroe | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Randy Pitchford | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Reggie Fils-Aimé | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Ricardo Salinas Pliego | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Ronald J. Garan | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Sam Altman | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Sam Pitroda | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Satya Nadella | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Sebastián Piñera | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Shane McMahon | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Sheryl Sandberg | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Silvio Berlusconi | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Stephen Covey | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Steve Wozniak | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Steven Sinofsky | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Stewart Butterfield | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Sundar Pichai | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Susan Wojcicki | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Thaksin Shinawatra | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Tim Cook | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Tom Steyer | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Tzipi Livni | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Vicente Fox Quesada | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Vince McMahon | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Vivienne Westwood | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Winnie Byanyima | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Yahtzee Croshaw | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Yukio Hatoyama | relation : PersonEmployer | objects : ?)
What objects that satisfy the following statement : (subject : Alice Cooper | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Amber Liu | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Amy Lee | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Anna Iriyama | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Annie Lennox | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Axl Rose | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Billy Idol | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Brian May | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Bruce Springsteen | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Carlos PenaVega | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Choi Siwon | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Chris Cornell | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Dave Mustaine | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : David Bowie | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : David Coverdale | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : David Crosby | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : David Gilmour | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Debbie Harry | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Dominic Howard | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Dougie Poynter | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Emma Bunton | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Eric Clapton | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Flea | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Florence Welch | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Geezer Butler | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Gene Simmons | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Glenn Hughes | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Harry Styles | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Haruna Kojima | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Hayley Williams | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Henry Lau | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Jack White | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : James Maslow | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Jamie | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Jay Park | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Jen Ledger | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Jo Kwon | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Johnny Marr | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Jung Jin-woon | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Jung Yong-hwa | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Justin Timberlake | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Kang Min-hyuk | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Keith Richards | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Kendall Schmidt | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Kevin Richardson | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Kim Kibum | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Lance Bass | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Lars Ulrich | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Lee Dong-hae | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Lee Hi | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Lee Hong-gi | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Lee Hyun | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Leeteuk | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Liam Gallagher | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Liam Payne | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Marilyn Manson | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Marisa Monte | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Matt Bellamy | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Melanie C | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Mick Jagger | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Mike Portnoy | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Mikey Way | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Minami Takahashi | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Mithra Jin | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Neil Young | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Niall Horan | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Ok Taec-yeon | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Onew | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Ozzy Osbourne | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Park Gyu-ri | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Paul Stanley | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Paul Weller | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Phil Collins | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Randy Jackson | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Ray Toro | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Ricky Martin | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Ringo Starr | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Ronnie James Dio | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Sammy Hagar | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Sandara Park | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Sarah Harding | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Sayaka Yamamoto | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Seungri | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Son Dong-woon | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Song Jieun | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Soprano | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Steven Tyler | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Tablo | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Tom Petty | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Vince Neil | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Willie Nelson | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Yesung | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Yim Si-wan | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Yong Jun-hyung | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Yoon Doo-joon | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Yui Yokoyama | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Yuki Kashiwagi | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Yūko Ōshima | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Zakk Wylde | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Zhou Mi | relation : PersonInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Aamir Khan | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ahmet Davutoğlu | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Alejandro Sanz | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Alessandro Del Piero | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Alicia Keys | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : André-Pierre Gignac | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Andrés Iniesta | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Andy Murray | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ariana Grande | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Arnold Schwarzenegger | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Arvind Kejriwal | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ashley Young | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Barbara Palvin | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Bastian Schweinsteiger | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Bill Maher | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Bob Marley | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Brie Larson | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Britney Spears | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Bruce Springsteen | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Bruno Mars | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Caroline Wozniacki | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : CeeLo Green | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Cher | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Chetan Bhagat | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Chloë Grace Moretz | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Chris Brown | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Christina Aguilera | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Claire Holt | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : David Cameron | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : David De Gea | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Drake | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Dwight Howard | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ed Sheeran | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Elizabeth II | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Elton John | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Enrique Iglesias | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ezra Klein | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Fernando Alonso | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : François Hollande | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Gerard Piqué | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Gordon Ramsay | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Hillary Clinton | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Iker Casillas | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Jean-Luc Mélenchon | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Jennette McCurdy | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Jessica Alba | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Jessica B. Hill | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : John Kerry | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Kanye West | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Karim Benzema | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Katy Perry | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Kemal Kılıçdaroğlu | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Kim Kardashian | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Kylie Minogue | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Lady Gaga | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Lana Del Rey | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Lance Armstrong | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Leonardo DiCaprio | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Lewis Hamilton | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Lil Wayne | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Lindsay Lohan | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Luis Suárez | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Madonna | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Marc Márquez | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Marcelo | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Marine Le Pen | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Mark Hoppus | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Mark Ruffalo | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Memphis Depay | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Mitt Romney | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Mohamed Morsi | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Narendra Modi | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Nelson Mandela | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Nicolas Sarkozy | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Olivier Giroud | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Paul McCartney | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Pelé | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Pervez Musharraf | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Pharrell Williams | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Pink | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Priyanka Chopra | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Rafael Correa Delgado | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Rahul Gandhi | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ringo Starr | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Robin van Persie | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ronaldinho | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Sebastián Piñera | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Seth Meyers | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Shakira | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Snoop Dogg | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Stephen Harper | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Taylor Swift | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Tiger Woods | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Tom Cruise | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Tom Hanks | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Troian Bellisario | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Weird Al Yankovic | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : William Bonner | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Xabi Alonso | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Zedd | relation : PersonLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Adam Levine | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Angela Merkel | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Angelina Jolie | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Antoine Griezmann | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : António Guterres | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Ban Ki-moon | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Barack Obama | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Bell Hooks | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Bettie Page | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Bob Saget | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Brad Pitt | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Brodie Lee | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Bruce Willis | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Camila Cabello | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Carrie Fisher | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Chadwick Boseman | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Chester Bennington | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Chuck Yeager | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Cory Monteith | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Dan Kaminsky | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : David Beckham | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : David Cameron | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Dusty Rhodes | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Eduard Punset | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Elizabeth Warren | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Elon Musk | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Elton John | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Elvis Presley | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Ennio Morricone | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Garry Shandling | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Gilbert Gottfried | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Herman Cain | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Irrfan Khan | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jane Goodall | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jeff Bezos | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jenni Rivera | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jennifer Aniston | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jennifer Lopez | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Joaquin Phoenix | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Joe Biden | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : John Grisham | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : John McCain | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Johnny Depp | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Julia Roberts | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Kazuo Koike | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Kofi Annan | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Kylie Jenner | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Lata Mangeshkar | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Leo Burnett | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Leon Allen White | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Louis Armstrong | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : MF DOOM | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Michael Lee Aday | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Mikhail Zadornov | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Miley Cyrus | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Mourid Barghouti | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Natalie Portman | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Nawal El Saadawi | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Neil Young | relation : PersonPlaceOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Neil deGrasse Tyson | relation : PersonPlaceOfDeath | objects : ?)
