What objects that satisfy the following statement : (subject : Transcend Information | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Miguel Ángel Rodríguez Echeverría | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Sathamangalam Ranga Iyengar Srinivasa Varadhan | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Leonid Polezhayev | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Mary Rand | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Hideo Ochi | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Béla Jávorszky | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : William C. Chasey | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Andrew Wood | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Alicia Dujovne Ortiz | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Masahiko Tsugawa | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Gerard J. Foschini | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Neil Brown | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Miguel Ángel Martínez Martínez | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Mykhailo Andreichyn | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Dani Kerman | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Marshall W. Mason | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : David Jason | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Toomas Sulling | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Ülo Tuulik | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Gennady Vasilyev | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Anthony Giddens, Baron Giddens | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Arvind Sharma | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Jurn de Vries | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Vladimir Obraztsov | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Andres Tarand | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Alois Glück | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Inez van Eijk | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Vladimir Miloševič | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Tom Brokaw | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Vilmos Voigt | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Carlos Slim | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Anatoliy Semenovitsj Hvorostov | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Karl Rühringer | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Basina Kloos | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Víctor Gómez Bergés | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Vasyl Ivánovich Popadyuk | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Reginald J. Brown | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Christoph Eschenbach | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Joachim Gauck | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Fedja Klavora | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Ron Santo | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : J. M. Coetzee | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Janez Hočevar | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : René Beaumont | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Hugh Porter | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Katharine Ross | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Nury Halmammedov | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Wojciech Biedrzycki | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Edmund White | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Prue Leith | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Adam Lityński | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Vladimir Korkodym | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Mitch Murray | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Gillian Shephard | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Martin Kayenburg | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Michael Rose | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Anatoly Pavlenko | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Tomasz Szarota | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Jack Nicklaus | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Rafael Navarro-Valls | relation : PersonHasProfession | objects : ?)
What objects that satisfy the following statement : (subject : Anthony da Costa | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Katie Armiger | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Jeremy Dutcher | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Mircea Gogoncea | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Machine Gun Kelly | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Christofer Drew | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Eric Stanley | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Anda | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Vanessa Zamora | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Blackbear | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Fetty Wap | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Brenda Asnicar | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Florian Noack | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Kim Jong-hyun | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Olivier Dion | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Minako Kotobuki | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Roosevelt | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Jay Watson | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Cari Quoyeser | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Kamil Bednarek | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Aimer | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Sharlene | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Hunter Hayes | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Emma Blackery | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Iván Zavala | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Samantha Scarlette | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : LilyPichu | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Indian Summer | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Emily Grove | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Rafał Błaszczyk | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Rikke Mølbæk Thomsen | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Nikola Muchová | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Kenichiro Kojima | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Pierre-Emmanuel Largeron | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Cro | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Rocky Kramer | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Park Cho-rong | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Karolinski | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Tyler  posey | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Yucco Miller | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Rita Ora | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Denise Rosenthal | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Laura Marling | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Alex Lambert | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Karina Pasian | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : George Craig | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Calle Brickman | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Austin Butler | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Lisa Mitchell | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Akiva Turgeman | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Song Jieun | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Matteo Myderwyk | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Antoha MC | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Dj 4Rain | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Claire Huangci | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Eddy Kim | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Marko Topchii | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Paulina Goto | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Natsuki Sato | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Haruma Miura | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Rudi Golimo Olsen | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Johannes Wamberg | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Elias Stemeseder | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Germán Garmendia | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Soap&Skin | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Magnus Bakken | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Seo Joo-hyun | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Yogev Glusman | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : NVRMD | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Bo Burnham | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Kimbra | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Álvaro Soler | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Diknu Schneeberger | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Janning Trumann | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Leo Pellegrino | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Mehrdad Biazarikari | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Jonathan Rado | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Izïa | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Reggie Sears | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Gavin James | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Ienissei Ramic | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Donald Wolcott | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Pixie Lott | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Jeremy Cushman | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Karsu Dönmez | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Eliot Sumner | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Elisa Lindström | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Choi Jong-hoon | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Wolfgang Van Halen | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Quincy Mumford | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Drew Sycamore | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Alberto Giurioli | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Ingrid Andress | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Mac DeMarco | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Tom Leeb | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Laurie Darmon | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : JC Gonzalez | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Amarins Wierdsma | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Hannes Van Dahl | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Brett Kissel | relation : PersonPlaysInstrument | objects : ?)
What objects that satisfy the following statement : (subject : Don Francisco | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Sathamangalam Ranga Iyengar Srinivasa Varadhan | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Sérgio Sant'Anna | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Kirovs Lipmans | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Joost Ritman | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Karen Cushman | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : George Onakkoor | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ervin Fritz | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Janez Kocijančič | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : António Victorino de Almeida | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Imdad Hussaini | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Roland Recht | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Milan Knížák | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : David Seltzer | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Anita Shapira | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Georg Stahl | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Augusto Fantozzi | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Witold Andrzejewski | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : François Bizot | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Jaan Kaplinski | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Denise Bombardier | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Larisa Khromova | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Amos Kloner | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Tomàs Alcoverro i Muntané | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Abel Matutes | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Fiona Caldicott | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Fatema Mernissi | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Friedel Rausch | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Dewi Sukarno | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ron Johnston | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Rama Kant Shukla | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Slobodan Milošević | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Dionne Warwick | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Alan Mullery | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Harald Vogel | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Arsen Naydyonov | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Rod Gilbert | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Alexander Litvak | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Zygmunt Czyż | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Anatoly Babkin | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Prabhas Kumar Choudhary | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Joel Shapiro | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Stanisław Rodziński | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ivica Osim | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Harihar Mishra | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Luis Valdez | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Krzysztof Kumor | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Vladimir Mulyavin | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Dilip Kumar Chakrabarti | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Robert Pinsky | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Julian Hunt, Baron Hunt of Chesterton | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Maudy Piot | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Dominguinhos | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Lyudmila Chursina | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Hatsjim Moechamedovitsj Karmokov | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Michael Lindsay-Hogg | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Andreas Khol | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Endre Bojtár | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Katalin Olosz | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Berndt Feuerbacher | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Janos Galambos | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Wojciech Młynarski | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Stanislav Molchanov | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ago Künnap | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Jules Hoffmann | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Joseph Chetrit | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Panamarenko | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Petru Lucinschi | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Maria Alzira Seixo | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Miss Major Griffin-Gracy | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Gerald Curtis | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Germán Sánchez Espeso | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Eberhard Fischer | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Csilla Kákonyi | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Iva Janžurová | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Francesc Betriu i Cabeceran | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Luis Giampietri | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Klára Essig Kacsó | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Janusz Kochanowski | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Úrsula Heinze | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Jean-Jacques Debout | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Jean-Marc Lévy-Leblond | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Richard Bohringer | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Peter Coyote | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Kálmán Faluba | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Aïcha Chenna | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Anna Kuligowska-Korzeniewska | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Malcolm Budd | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Huba Wass de Czege | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Michael Rawlins | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Margrethe II of Denmark | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Emőke Bagdy | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : John Singleton | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Magnus Härenstam | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Anne Rice | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Augusto Aurelio Fábrega Donado | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Frederick Brownell | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Giorgio Moroder | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Rajendra K. Pachauri | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Vladimir Obraztsov | relation : PersonSpeaksLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Udy River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mur | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Çoruh River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Drin | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Litani River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Black Drin | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Chao Phraya River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Lena River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Li River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Hvítá | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Spree | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Virgin River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Jiu River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Švėtė | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Latorica | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Maritsa | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Narew | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Brenta | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Sebasticook River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Neckar | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Arpa River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Yangtze | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ceyhan River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Daugava | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Loire | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Sozh | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Váh | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Sakarya River | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Trebbia | relation : RiverBasinsCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mureș River | relation : RiverBasinsCountry | objects : ?)
